Region,Waterbody Key (Raw),Cleaned Name,Name Variations (from corrections),Note,MUs,Similar Names
REGION 6 - Skeena,OLDFIELD CREEK,oldfield creek,,,['6-14'],"bodel creek, wildfire creek, mayfield creek"
REGION 6 - Skeena,RANCHERIA RIVER'S TRIBUTARIES,rancheria river's tributaries,,,['6-25'],"little rancheria river tributary, blanchet river tributary, fraser river tributary"
REGION 6 - Skeena,SEASKINNISH CREEK,seaskinnish creek,,,['6-15'],"north seaskinnish creek, north seaskinnish creek tributary, bearskin creek"
REGION 6 - Skeena,SEELEY CREEK,seeley creek,,,['6-9'],"steel creek, lesley creek, evelyn creek"
REGION 6 - Skeena,SKEENA RIVER/KISPIOX RIVER CONFLUENCE,skeena river/kispiox river confluence,,,['6-8'],
REGION 6 - Skeena,SQUIRREL LAKE,squirrel lake,,,['6-1'],"surel lake, square lake, sue lake"
REGION 6 - Skeena,TOMS LAKE,toms lake,,,['6-1'],"top lake, holmes lake, mess lake"
REGION 6 - Skeena,TSEAX RIVER,tseax river,,,['6-14'],"tezwa river, skeena river, telkwa river"
REGION 7A - Omineca,BLACKWATER RIVER,blackwater river,,,['7-10'],"blackwater creek, blackwater lake, kakwa river"
REGION 7A - Omineca,BOBTAIL LAKE,bobtail lake,,,['7-12'],"little bobtail lake, little bobtail lake tributary, trail lake"
REGION 7A - Omineca,DAVIS BAY,davis bay,,,['7-37'],"davids lake, davies lake, avis lake"
REGION 7A - Omineca,DINA CREEK,dina creek,,,['7-30'],"nina creek, inati creek, sinta creek"
REGION 7A - Omineca,DINA LAKE #1,dina lake #1,,,['7-30'],"dina lakes, dia lake, edna lake"
REGION 7A - Omineca,DINA LAKE #2,dina lake #2,,,['7-30'],"dina lakes, dia lake, edna lake"
REGION 7A - Omineca,ENDAKO RIVER,endako river,,,['7-12'],"endako river tributary, nechako river, snake river"
REGION 7A - Omineca,EYE LAKE,eye lake,,,['7-26'],"fyfe lake, eena lake, tyee lake"
REGION 7A - Omineca,LITTLE LOST LAKE,little lost lake,,,['7-3'],"little lake, little heart lake, little dismal lake"
REGION 7A - Omineca,LITTLE TOMAS LAKE,little tomas lake,,,['7-25'],"little dismal lake, little lake, little bobtail lake"
REGION 7A - Omineca,LOWER BEAVERPOND LAKE,lower beaverpond lake,,,['7-38'],"beaverpond lakes, lower belle lake, lower blue lake"
REGION 7A - Omineca,MT. MILLIGAN LAKE,mt. milligan lake,,,['7-28'],"milligan lake, tie mill lake, gilgan lake"
REGION 7A - Omineca,NATION ARM,nation arm,,,['7-30'],"nation lakes, nation river, plantation lake"
REGION 7A - Omineca,NAUTLEY RIVER,nautley river,,,['7-13'],"paul river, alces river, snake river"
REGION 7A - Omineca,SHANDY LAKE,shandy lake,,,['7-5'],"hand lake, shanley lake, shane lake"
REGION 7A - Omineca,TEBBUTT LAKE,tebbutt lake,,,['7-13'],"tent lake, buth lake, trout lake"
REGION 7A - Omineca,WITCH LAKE,witch lake,,,['7-28'],"tucha lake, etcho lake, welch lake"
REGION 7B - Peace,CHINAMAN LAKE,chinaman lake,,,['7-35'],"chinchaga lakes, norman lake, seaman lake"
REGION 7B - Peace,CHUNAMUN LAKE,chunamun lake,,,['7-35'],"chu lake, chain lakes, duncan lake"
REGION 7B - Peace,LIARD RIVER WATERSHED,liard river watershed,,,['7-53'],"liard river, liard river tributary"
REGION 7B - Peace,RADAR LAKE,radar lake,,,['7-20'],"adam lake, adams lake, darby lake"
REGION 8 - Okanagan,BLUEY LAKE POTHOLES,bluey lake potholes,,,['8-6'],"bluey lake, blue lake, bluey lake tributary"
REGION 8 - Okanagan,CLIFFORD LAKE,clifford lake,,,['8-5'],"ford lake, gulliford lake, clier lake"
REGION 8 - Okanagan,FIVE O'CLOCK LAKE,five o'clock lake,,,['8-14'],"whitecloud lake, lodwick lake, hook lake"
REGION 8 - Okanagan,HALL ROAD POND,hall road pond,,,['8-10'],"hamilton pond, art pond"
REGION 8 - Okanagan,HEADWATER LAKE #1,headwater lake #1,,,['8-8'],"headwater lakes, headwater lakes tributary, eastmere lake"
REGION 8 - Okanagan,OKANAGAN RIVER OXBOWS,okanagan river oxbows,,,['8-1'],"okanagan river, okanagan river tributary"
REGION 8 - Okanagan,PINAUS LAKE,pinaus lake,,,[],
REGION 8 - Okanagan,RICKEY LAKE,rickey lake,,,['8-5'],"tracey lake, ripley lake, ince lake"
REGION 8 - Okanagan,ROSE VALLEY RESERVOIR,rose valley reservoir,,,['8-11'],"rose valley lake, mckinley reservoir, deer valley creek"
REGION 8 - Okanagan,SAWMILL LAKE,sawmill lake,,,['8-1'],"swalwell lake, saltwell lake, gill lake"
REGION 8 - Okanagan,TREPANIER RIVER,trepanier river,,,['8-8'],"trépanier creek, granby river, tulameen river"
REGION 8 - Okanagan,UNNAMED LAKES,unnamed lakes,,,['8-6'],"dungate lakes, nahm lake, acme lake"
